agent,lr,num_recall,seed
mparsr,0.1,100,0
mparsr,0.1,100,1
mparsr,0.1,100,2
mparsr,0.1,100,3
mparsr,0.1,100,4
mparsr,0.1,100,5
mparsr,0.1,100,6
mparsr,0.1,100,7
mparsr,0.1,100,8
mparsr,0.1,100,9
mparsr,0.1,300,0
mparsr,0.1,300,1
mparsr,0.1,300,2
mparsr,0.1,300,3
mparsr,0.1,300,4
mparsr,0.1,300,5
mparsr,0.1,300,6
mparsr,0.1,300,7
mparsr,0.1,300,8
mparsr,0.1,300,9
mparsr,0.1,1000,0
mparsr,0.1,1000,1
mparsr,0.1,1000,2
mparsr,0.1,1000,3
mparsr,0.1,1000,4
mparsr,0.1,1000,5
mparsr,0.1,1000,6
mparsr,0.1,1000,7
mparsr,0.1,1000,8
mparsr,0.1,1000,9
mparsr,0.1,3000,0
mparsr,0.1,3000,1
mparsr,0.1,3000,2
mparsr,0.1,3000,3
mparsr,0.1,3000,4
mparsr,0.1,3000,5
mparsr,0.1,3000,6
mparsr,0.1,3000,7
mparsr,0.1,3000,8
mparsr,0.1,3000,9
mparsr,0.1,10000,0
mparsr,0.1,10000,1
mparsr,0.1,10000,2
mparsr,0.1,10000,3
mparsr,0.1,10000,4
mparsr,0.1,10000,5
mparsr,0.1,10000,6
mparsr,0.1,10000,7
mparsr,0.1,10000,8
mparsr,0.1,10000,9
mparsr,0.3,100,0
mparsr,0.3,100,1
mparsr,0.3,100,2
mparsr,0.3,100,3
mparsr,0.3,100,4
mparsr,0.3,100,5
mparsr,0.3,100,6
mparsr,0.3,100,7
mparsr,0.3,100,8
mparsr,0.3,100,9
mparsr,0.3,300,0
mparsr,0.3,300,1
mparsr,0.3,300,2
mparsr,0.3,300,3
mparsr,0.3,300,4
mparsr,0.3,300,5
mparsr,0.3,300,6
mparsr,0.3,300,7
mparsr,0.3,300,8
mparsr,0.3,300,9
mparsr,0.3,1000,0
mparsr,0.3,1000,1
mparsr,0.3,1000,2
mparsr,0.3,1000,3
mparsr,0.3,1000,4
mparsr,0.3,1000,5
mparsr,0.3,1000,6
mparsr,0.3,1000,7
mparsr,0.3,1000,8
mparsr,0.3,1000,9
mparsr,0.3,3000,0
mparsr,0.3,3000,1
mparsr,0.3,3000,2
mparsr,0.3,3000,3
mparsr,0.3,3000,4
mparsr,0.3,3000,5
mparsr,0.3,3000,6
mparsr,0.3,3000,7
mparsr,0.3,3000,8
mparsr,0.3,3000,9
mparsr,0.3,10000,0
mparsr,0.3,10000,1
mparsr,0.3,10000,2
mparsr,0.3,10000,3
mparsr,0.3,10000,4
mparsr,0.3,10000,5
mparsr,0.3,10000,6
mparsr,0.3,10000,7
mparsr,0.3,10000,8
mparsr,0.3,10000,9
mparsr,0.5,100,0
mparsr,0.5,100,1
mparsr,0.5,100,2
mparsr,0.5,100,3
mparsr,0.5,100,4
mparsr,0.5,100,5
mparsr,0.5,100,6
mparsr,0.5,100,7
mparsr,0.5,100,8
mparsr,0.5,100,9
mparsr,0.5,300,0
mparsr,0.5,300,1
mparsr,0.5,300,2
mparsr,0.5,300,3
mparsr,0.5,300,4
mparsr,0.5,300,5
mparsr,0.5,300,6
mparsr,0.5,300,7
mparsr,0.5,300,8
mparsr,0.5,300,9
mparsr,0.5,1000,0
mparsr,0.5,1000,1
mparsr,0.5,1000,2
mparsr,0.5,1000,3
mparsr,0.5,1000,4
mparsr,0.5,1000,5
mparsr,0.5,1000,6
mparsr,0.5,1000,7
mparsr,0.5,1000,8
mparsr,0.5,1000,9
mparsr,0.5,3000,0
mparsr,0.5,3000,1
mparsr,0.5,3000,2
mparsr,0.5,3000,3
mparsr,0.5,3000,4
mparsr,0.5,3000,5
mparsr,0.5,3000,6
mparsr,0.5,3000,7
mparsr,0.5,3000,8
mparsr,0.5,3000,9
mparsr,0.5,10000,0
mparsr,0.5,10000,1
mparsr,0.5,10000,2
mparsr,0.5,10000,3
mparsr,0.5,10000,4
mparsr,0.5,10000,5
mparsr,0.5,10000,6
mparsr,0.5,10000,7
mparsr,0.5,10000,8
mparsr,0.5,10000,9
mparsr,0.7,100,0
mparsr,0.7,100,1
mparsr,0.7,100,2
mparsr,0.7,100,3
mparsr,0.7,100,4
mparsr,0.7,100,5
mparsr,0.7,100,6
mparsr,0.7,100,7
mparsr,0.7,100,8
mparsr,0.7,100,9
mparsr,0.7,300,0
mparsr,0.7,300,1
mparsr,0.7,300,2
mparsr,0.7,300,3
mparsr,0.7,300,4
mparsr,0.7,300,5
mparsr,0.7,300,6
mparsr,0.7,300,7
mparsr,0.7,300,8
mparsr,0.7,300,9
mparsr,0.7,1000,0
mparsr,0.7,1000,1
mparsr,0.7,1000,2
mparsr,0.7,1000,3
mparsr,0.7,1000,4
mparsr,0.7,1000,5
mparsr,0.7,1000,6
mparsr,0.7,1000,7
mparsr,0.7,1000,8
mparsr,0.7,1000,9
mparsr,0.7,3000,0
mparsr,0.7,3000,1
mparsr,0.7,3000,2
mparsr,0.7,3000,3
mparsr,0.7,3000,4
mparsr,0.7,3000,5
mparsr,0.7,3000,6
mparsr,0.7,3000,7
mparsr,0.7,3000,8
mparsr,0.7,3000,9
mparsr,0.7,10000,0
mparsr,0.7,10000,1
mparsr,0.7,10000,2
mparsr,0.7,10000,3
mparsr,0.7,10000,4
mparsr,0.7,10000,5
mparsr,0.7,10000,6
mparsr,0.7,10000,7
mparsr,0.7,10000,8
mparsr,0.7,10000,9
mparsr,0.9,100,0
mparsr,0.9,100,1
mparsr,0.9,100,2
mparsr,0.9,100,3
mparsr,0.9,100,4
mparsr,0.9,100,5
mparsr,0.9,100,6
mparsr,0.9,100,7
mparsr,0.9,100,8
mparsr,0.9,100,9
mparsr,0.9,300,0
mparsr,0.9,300,1
mparsr,0.9,300,2
mparsr,0.9,300,3
mparsr,0.9,300,4
mparsr,0.9,300,5
mparsr,0.9,300,6
mparsr,0.9,300,7
mparsr,0.9,300,8
mparsr,0.9,300,9
mparsr,0.9,1000,0
mparsr,0.9,1000,1
mparsr,0.9,1000,2
mparsr,0.9,1000,3
mparsr,0.9,1000,4
mparsr,0.9,1000,5
mparsr,0.9,1000,6
mparsr,0.9,1000,7
mparsr,0.9,1000,8
mparsr,0.9,1000,9
mparsr,0.9,3000,0
mparsr,0.9,3000,1
mparsr,0.9,3000,2
mparsr,0.9,3000,3
mparsr,0.9,3000,4
mparsr,0.9,3000,5
mparsr,0.9,3000,6
mparsr,0.9,3000,7
mparsr,0.9,3000,8
mparsr,0.9,3000,9
mparsr,0.9,10000,0
mparsr,0.9,10000,1
mparsr,0.9,10000,2
mparsr,0.9,10000,3
mparsr,0.9,10000,4
mparsr,0.9,10000,5
mparsr,0.9,10000,6
mparsr,0.9,10000,7
mparsr,0.9,10000,8
mparsr,0.9,10000,9
qparsr,0.1,100,0
qparsr,0.1,100,1
qparsr,0.1,100,2
qparsr,0.1,100,3
qparsr,0.1,100,4
qparsr,0.1,100,5
qparsr,0.1,100,6
qparsr,0.1,100,7
qparsr,0.1,100,8
qparsr,0.1,100,9
qparsr,0.1,300,0
qparsr,0.1,300,1
qparsr,0.1,300,2
qparsr,0.1,300,3
qparsr,0.1,300,4
qparsr,0.1,300,5
qparsr,0.1,300,6
qparsr,0.1,300,7
qparsr,0.1,300,8
qparsr,0.1,300,9
qparsr,0.1,1000,0
qparsr,0.1,1000,1
qparsr,0.1,1000,2
qparsr,0.1,1000,3
qparsr,0.1,1000,4
qparsr,0.1,1000,5
qparsr,0.1,1000,6
qparsr,0.1,1000,7
qparsr,0.1,1000,8
qparsr,0.1,1000,9
qparsr,0.1,3000,0
qparsr,0.1,3000,1
qparsr,0.1,3000,2
qparsr,0.1,3000,3
qparsr,0.1,3000,4
qparsr,0.1,3000,5
qparsr,0.1,3000,6
qparsr,0.1,3000,7
qparsr,0.1,3000,8
qparsr,0.1,3000,9
qparsr,0.1,10000,0
qparsr,0.1,10000,1
qparsr,0.1,10000,2
qparsr,0.1,10000,3
qparsr,0.1,10000,4
qparsr,0.1,10000,5
qparsr,0.1,10000,6
qparsr,0.1,10000,7
qparsr,0.1,10000,8
qparsr,0.1,10000,9
qparsr,0.3,100,0
qparsr,0.3,100,1
qparsr,0.3,100,2
qparsr,0.3,100,3
qparsr,0.3,100,4
qparsr,0.3,100,5
qparsr,0.3,100,6
qparsr,0.3,100,7
qparsr,0.3,100,8
qparsr,0.3,100,9
qparsr,0.3,300,0
qparsr,0.3,300,1
qparsr,0.3,300,2
qparsr,0.3,300,3
qparsr,0.3,300,4
qparsr,0.3,300,5
qparsr,0.3,300,6
qparsr,0.3,300,7
qparsr,0.3,300,8
qparsr,0.3,300,9
qparsr,0.3,1000,0
qparsr,0.3,1000,1
qparsr,0.3,1000,2
qparsr,0.3,1000,3
qparsr,0.3,1000,4
qparsr,0.3,1000,5
qparsr,0.3,1000,6
qparsr,0.3,1000,7
qparsr,0.3,1000,8
qparsr,0.3,1000,9
qparsr,0.3,3000,0
qparsr,0.3,3000,1
qparsr,0.3,3000,2
qparsr,0.3,3000,3
qparsr,0.3,3000,4
qparsr,0.3,3000,5
qparsr,0.3,3000,6
qparsr,0.3,3000,7
qparsr,0.3,3000,8
qparsr,0.3,3000,9
qparsr,0.3,10000,0
qparsr,0.3,10000,1
qparsr,0.3,10000,2
qparsr,0.3,10000,3
qparsr,0.3,10000,4
qparsr,0.3,10000,5
qparsr,0.3,10000,6
qparsr,0.3,10000,7
qparsr,0.3,10000,8
qparsr,0.3,10000,9
qparsr,0.5,100,0
qparsr,0.5,100,1
qparsr,0.5,100,2
qparsr,0.5,100,3
qparsr,0.5,100,4
qparsr,0.5,100,5
qparsr,0.5,100,6
qparsr,0.5,100,7
qparsr,0.5,100,8
qparsr,0.5,100,9
qparsr,0.5,300,0
qparsr,0.5,300,1
qparsr,0.5,300,2
qparsr,0.5,300,3
qparsr,0.5,300,4
qparsr,0.5,300,5
qparsr,0.5,300,6
qparsr,0.5,300,7
qparsr,0.5,300,8
qparsr,0.5,300,9
qparsr,0.5,1000,0
qparsr,0.5,1000,1
qparsr,0.5,1000,2
qparsr,0.5,1000,3
qparsr,0.5,1000,4
qparsr,0.5,1000,5
qparsr,0.5,1000,6
qparsr,0.5,1000,7
qparsr,0.5,1000,8
qparsr,0.5,1000,9
qparsr,0.5,3000,0
qparsr,0.5,3000,1
qparsr,0.5,3000,2
qparsr,0.5,3000,3
qparsr,0.5,3000,4
qparsr,0.5,3000,5
qparsr,0.5,3000,6
qparsr,0.5,3000,7
qparsr,0.5,3000,8
qparsr,0.5,3000,9
qparsr,0.5,10000,0
qparsr,0.5,10000,1
qparsr,0.5,10000,2
qparsr,0.5,10000,3
qparsr,0.5,10000,4
qparsr,0.5,10000,5
qparsr,0.5,10000,6
qparsr,0.5,10000,7
qparsr,0.5,10000,8
qparsr,0.5,10000,9
qparsr,0.7,100,0
qparsr,0.7,100,1
qparsr,0.7,100,2
qparsr,0.7,100,3
qparsr,0.7,100,4
qparsr,0.7,100,5
qparsr,0.7,100,6
qparsr,0.7,100,7
qparsr,0.7,100,8
qparsr,0.7,100,9
qparsr,0.7,300,0
qparsr,0.7,300,1
qparsr,0.7,300,2
qparsr,0.7,300,3
qparsr,0.7,300,4
qparsr,0.7,300,5
qparsr,0.7,300,6
qparsr,0.7,300,7
qparsr,0.7,300,8
qparsr,0.7,300,9
qparsr,0.7,1000,0
qparsr,0.7,1000,1
qparsr,0.7,1000,2
qparsr,0.7,1000,3
qparsr,0.7,1000,4
qparsr,0.7,1000,5
qparsr,0.7,1000,6
qparsr,0.7,1000,7
qparsr,0.7,1000,8
qparsr,0.7,1000,9
qparsr,0.7,3000,0
qparsr,0.7,3000,1
qparsr,0.7,3000,2
qparsr,0.7,3000,3
qparsr,0.7,3000,4
qparsr,0.7,3000,5
qparsr,0.7,3000,6
qparsr,0.7,3000,7
qparsr,0.7,3000,8
qparsr,0.7,3000,9
qparsr,0.7,10000,0
qparsr,0.7,10000,1
qparsr,0.7,10000,2
qparsr,0.7,10000,3
qparsr,0.7,10000,4
qparsr,0.7,10000,5
qparsr,0.7,10000,6
qparsr,0.7,10000,7
qparsr,0.7,10000,8
qparsr,0.7,10000,9
qparsr,0.9,100,0
qparsr,0.9,100,1
qparsr,0.9,100,2
qparsr,0.9,100,3
qparsr,0.9,100,4
qparsr,0.9,100,5
qparsr,0.9,100,6
qparsr,0.9,100,7
qparsr,0.9,100,8
qparsr,0.9,100,9
qparsr,0.9,300,0
qparsr,0.9,300,1
qparsr,0.9,300,2
qparsr,0.9,300,3
qparsr,0.9,300,4
qparsr,0.9,300,5
qparsr,0.9,300,6
qparsr,0.9,300,7
qparsr,0.9,300,8
qparsr,0.9,300,9
qparsr,0.9,1000,0
qparsr,0.9,1000,1
qparsr,0.9,1000,2
qparsr,0.9,1000,3
qparsr,0.9,1000,4
qparsr,0.9,1000,5
qparsr,0.9,1000,6
qparsr,0.9,1000,7
qparsr,0.9,1000,8
qparsr,0.9,1000,9
qparsr,0.9,3000,0
qparsr,0.9,3000,1
qparsr,0.9,3000,2
qparsr,0.9,3000,3
qparsr,0.9,3000,4
qparsr,0.9,3000,5
qparsr,0.9,3000,6
qparsr,0.9,3000,7
qparsr,0.9,3000,8
qparsr,0.9,3000,9
qparsr,0.9,10000,0
qparsr,0.9,10000,1
qparsr,0.9,10000,2
qparsr,0.9,10000,3
qparsr,0.9,10000,4
qparsr,0.9,10000,5
qparsr,0.9,10000,6
qparsr,0.9,10000,7
qparsr,0.9,10000,8
qparsr,0.9,10000,9
